Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Quantity Ordered
US-2017-152051,25-Jun-17,29-Jun-17,Standard Class,TS-21160,FUR-CH-10002965,21
CA-2017-159737,03-Sep-17,09-Sep-17,Standard Class,CS-11950,OFF-BI-10004236,23
CA-2018-157091,26-Jun-18,01-Jul-18,Standard Class,DB-13405,FUR-FU-10000293,20
CA-2018-132122,09-Jul-18,14-Jul-18,Standard Class,JH-15820,OFF-ST-10003692,1
CA-2017-164091,17-Sep-17,22-Sep-17,Standard Class,LA-16780,TEC-PH-10001944,15
CA-2018-165491,20-Mar-18,24-Mar-18,Standard Class,HW-14935,TEC-AC-10000358,17
CA-2017-118052,06-May-17,10-May-17,Standard Class,BE-11455,OFF-FA-10004248,8
CA-2015-162684,01-Aug-15,06-Aug-15,Standard Class,AS-10630,OFF-FA-10000992,23
CA-2017-156300,29-Dec-17,02-Jan-18,Standard Class,TB-21595,FUR-CH-10001714,22
CA-2017-155551,18-Apr-17,23-Apr-17,Standard Class,CR-12580,OFF-ST-10003656,19
CA-2015-145212,13-Sep-15,19-Sep-15,Standard Class,DC-12850,OFF-AR-10002833,5
CA-2017-124506,11-Nov-17,17-Nov-17,Standard Class,BB-11545,TEC-AC-10003280,8
CA-2015-111500,17-Aug-15,21-Aug-15,Standard Class,DJ-13510,OFF-PA-10000595,14
CA-2018-109778,16-Jul-18,21-Jul-18,Standard Class,VM-21685,OFF-AR-10003759,18
CA-2018-108553,23-Apr-18,29-Apr-18,Standard Class,SK-19990,OFF-AP-10000026,22
CA-2018-155873,16-Jun-18,21-Jun-18,Standard Class,AB-10255,OFF-SU-10001165,5
CA-2015-127187,04-Dec-15,08-Dec-15,Standard Class,CP-12085,TEC-PH-10000673,6
CA-2018-104801,13-Feb-18,19-Feb-18,Standard Class,FH-14350,OFF-AR-10001547,5
CA-2018-143329,03-Nov-18,08-Nov-18,Standard Class,DL-13330,FUR-FU-10000629,21
CA-2018-112865,18-May-18,22-May-18,Standard Class,BH-11710,TEC-AC-10000387,24
CA-2018-124674,17-Nov-18,23-Nov-18,Standard Class,JB-16000,FUR-BO-10002202,22
CA-2018-169054,22-Apr-18,26-Apr-18,Standard Class,MO-17800,FUR-FU-10001488,13
CA-2017-144554,07-Nov-17,12-Nov-17,Standard Class,DM-13345,TEC-AC-10002800,15
CA-2017-138695,28-May-17,03-Jun-17,Standard Class,KC-16675,FUR-CH-10003833,10
CA-2015-131527,01-Dec-15,07-Dec-15,Standard Class,TB-21280,TEC-PH-10001644,16
US-2015-159926,18-Nov-15,22-Nov-15,Standard Class,CS-11950,OFF-BI-10003656,8
CA-2018-100335,07-Sep-18,13-Sep-18,Standard Class,NF-18595,OFF-PA-10001685,25
CA-2017-166485,20-Feb-17,27-Feb-17,Standard Class,AH-10210,OFF-PA-10004996,19
CA-2018-120705,05-Sep-18,11-Sep-18,Standard Class,MG-17875,OFF-ST-10001522,20
CA-2016-141145,17-Sep-16,23-Sep-16,Standard Class,DB-13405,TEC-AC-10001465,18
CA-2018-117807,01-Oct-18,07-Oct-18,Standard Class,DK-13090,OFF-PA-10000994,12
CA-2016-168459,22-Nov-16,27-Nov-16,Standard Class,MC-17275,OFF-BI-10003712,3
CA-2015-135755,03-May-15,10-May-15,Standard Class,NC-18415,OFF-BI-10004828,14
CA-2017-132094,26-Aug-17,02-Sep-17,Standard Class,VG-21805,OFF-AR-10004165,10
CA-2016-136378,02-Apr-16,07-Apr-16,Standard Class,CS-11845,OFF-BI-10003707,7
CA-2015-102673,01-Nov-15,05-Nov-15,Standard Class,KH-16630,OFF-FA-10003021,9
CA-2018-108112,15-Nov-18,20-Nov-18,Standard Class,DK-12895,FUR-FU-10003553,24
CA-2017-161473,01-Apr-17,05-Apr-17,Standard Class,TB-21175,OFF-LA-10001297,21
CA-2018-117702,28-Nov-18,04-Dec-18,Standard Class,LS-16975,OFF-AR-10004582,19
CA-2015-123127,08-Sep-15,12-Sep-15,Standard Class,SP-20620,OFF-AP-10001962,24
CA-2017-134691,14-Nov-17,18-Nov-17,Standard Class,KC-16540,OFF-BI-10002393,15
US-2017-165953,31-Dec-17,06-Jan-18,Standard Class,EP-13915,OFF-AR-10000588,11
CA-2018-119746,23-Nov-18,27-Nov-18,Standard Class,CM-12385,FUR-FU-10004909,16
CA-2017-140018,21-Nov-17,26-Nov-17,Standard Class,CK-12205,TEC-MA-10000752,9
CA-2018-167661,05-Oct-18,10-Oct-18,Standard Class,MP-18175,OFF-BI-10002571,8
CA-2018-164042,23-May-18,27-May-18,Standard Class,KL-16645,OFF-FA-10000840,22
CA-2018-127306,14-Jan-18,18-Jan-18,Standard Class,BH-11710,OFF-EN-10001219,16
CA-2016-156482,06-Feb-16,13-Feb-16,Standard Class,IL-15100,FUR-CH-10001708,8
CA-2016-109001,05-Mar-16,09-Mar-16,Standard Class,KN-16390,TEC-PH-10000562,16
CA-2018-154137,11-Nov-18,17-Nov-18,Standard Class,MT-17815,OFF-ST-10003324,9
CA-2018-146626,29-Dec-18,05-Jan-19,Standard Class,BP-11185,FUR-FU-10002501,14
CA-2018-128335,29-Sep-18,05-Oct-18,Standard Class,JA-15970,OFF-EN-10001539,24
CA-2016-134719,10-Oct-16,15-Oct-16,Standard Class,JD-15790,OFF-ST-10004459,7
US-2016-154389,27-Nov-16,03-Dec-16,Standard Class,EH-14125,TEC-PH-10002789,19
CA-2018-137876,30-Apr-18,05-May-18,Standard Class,DJ-13510,FUR-FU-10000222,7
CA-2017-154060,02-May-17,08-May-17,Standard Class,DL-12865,FUR-CH-10002304,3
CA-2018-158071,10-Jun-18,15-Jun-18,Standard Class,BD-11320,TEC-PH-10002923,20
US-2018-125647,23-Sep-18,28-Sep-18,Standard Class,LC-16870,OFF-AP-10000390,2
CA-2018-155929,09-Sep-18,13-Sep-18,Standard Class,AI-10855,OFF-PA-10000859,10
CA-2017-150000,08-Apr-17,14-Apr-17,Standard Class,PG-18820,OFF-EN-10002973,18
US-2018-150595,22-May-18,26-May-18,Standard Class,LE-16810,FUR-CH-10000513,25
CA-2015-151162,05-Dec-15,09-Dec-15,Standard Class,EA-14035,OFF-PA-10001033,15
CA-2017-143924,28-Jul-17,03-Aug-17,Standard Class,SC-20680,OFF-FA-10000735,20
CA-2018-150420,03-Jun-18,08-Jun-18,Standard Class,GD-14590,TEC-AC-10004975,13
CA-2018-107244,07-Sep-18,11-Sep-18,Standard Class,AG-10390,FUR-FU-10002597,3
CA-2016-158421,21-Sep-16,26-Sep-16,Standard Class,GB-14575,FUR-CH-10000309,21
CA-2018-140627,23-Dec-18,27-Dec-18,Standard Class,DK-12985,FUR-FU-10000087,4
CA-2018-102379,02-Dec-18,06-Dec-18,Standard Class,BB-11545,TEC-PH-10001448,20
CA-2017-125080,21-Oct-17,26-Oct-17,Standard Class,VW-21775,FUR-TA-10003238,3
CA-2017-129126,14-Dec-17,19-Dec-17,Standard Class,PK-19075,OFF-PA-10001471,7
CA-2016-121405,30-Mar-16,04-Apr-16,Standard Class,FC-14335,OFF-PA-10001838,22
CA-2018-140872,03-Jun-18,10-Jun-18,Standard Class,NR-18550,OFF-BI-10002432,12
CA-2015-149594,15-Sep-15,19-Sep-15,Standard Class,MF-18250,FUR-FU-10000222,12
CA-2016-103716,30-Apr-16,06-May-16,Standard Class,KB-16585,OFF-AR-10000658,15
US-2016-156496,10-Aug-16,16-Aug-16,Standard Class,WB-21850,TEC-PH-10000576,12
CA-2018-145429,21-Jul-18,25-Jul-18,Standard Class,SW-20455,OFF-PA-10003205,9
CA-2018-165715,02-Dec-18,08-Dec-18,Standard Class,BG-11035,OFF-AR-10003903,17
CA-2018-100615,20-Apr-18,24-Apr-18,Standard Class,SJ-20215,FUR-CH-10002602,23
CA-2018-139402,09-Dec-18,13-Dec-18,Standard Class,NC-18535,OFF-PA-10004359,5
CA-2018-164756,18-Sep-18,22-Sep-18,Standard Class,SS-20140,TEC-PH-10001552,8
CA-2016-102806,21-May-16,28-May-16,Standard Class,HG-14965,OFF-BI-10001597,4
CA-2016-126466,09-Nov-16,13-Nov-16,Standard Class,JO-15550,OFF-FA-10000490,17
CA-2017-106950,02-Sep-17,06-Sep-17,Standard Class,JE-15715,OFF-BI-10000014,25
US-2015-147774,20-Jan-15,26-Jan-15,Standard Class,MM-18280,OFF-BI-10003091,14
CA-2017-166282,16-Apr-17,22-Apr-17,Standard Class,PK-19075,TEC-AC-10004209,19
CA-2017-152730,30-May-17,04-Jun-17,Standard Class,EM-14140,OFF-AP-10002684,11
CA-2016-162782,21-Feb-16,27-Feb-16,Standard Class,PW-19240,OFF-BI-10003527,22
US-2018-117450,04-Sep-18,08-Sep-18,Standard Class,DO-13645,FUR-CH-10003817,22
CA-2016-125563,11-Apr-16,17-Apr-16,Standard Class,PR-18880,FUR-FU-10001290,8
CA-2015-130421,03-Mar-15,07-Mar-15,Standard Class,SC-20020,OFF-AP-10002534,25
CA-2017-110975,25-Dec-17,30-Dec-17,Standard Class,DB-12970,FUR-TA-10002958,6
CA-2018-135111,28-Dec-18,02-Jan-19,Standard Class,CS-12400,OFF-AR-10004707,21
CA-2018-121048,14-Jul-18,18-Jul-18,Standard Class,TC-21295,OFF-BI-10004022,11
CA-2015-100916,21-Oct-15,26-Oct-15,Standard Class,FH-14275,OFF-ST-10003479,20
CA-2017-114601,26-Aug-17,02-Sep-17,Standard Class,AA-10480,OFF-PA-10000605,4
US-2018-138086,16-Apr-18,20-Apr-18,Standard Class,JO-15550,OFF-AP-10000027,15
US-2017-137295,08-Jan-17,13-Jan-17,Standard Class,VS-21820,OFF-BI-10004236,12
CA-2018-150469,26-Jan-18,30-Jan-18,Standard Class,CJ-12010,OFF-FA-10000611,8
CA-2018-128363,13-Aug-18,18-Aug-18,Standard Class,DC-12850,OFF-AP-10001563,8
US-2017-168095,15-Jul-17,20-Jul-17,Standard Class,MC-17425,FUR-CH-10004886,1
CA-2015-144974,26-Sep-15,30-Sep-15,Standard Class,CM-12715,OFF-BI-10003274,19
CA-2017-105753,20-Oct-17,26-Oct-17,Standard Class,LC-16960,FUR-FU-10000246,7
CA-2016-137064,06-Feb-16,13-Feb-16,Standard Class,TS-21655,OFF-BI-10002049,3
CA-2017-146150,14-Feb-17,19-Feb-17,Standard Class,FM-14380,OFF-AR-10002240,12
CA-2017-114944,30-Jan-17,04-Feb-17,Standard Class,HE-14800,OFF-PA-10003892,9
CA-2018-102736,05-Sep-18,09-Sep-18,Standard Class,LP-17095,TEC-AC-10004568,3
CA-2018-137582,04-Sep-18,08-Sep-18,Standard Class,CV-12805,OFF-BI-10001757,19
CA-2015-139423,01-Nov-15,05-Nov-15,Standard Class,DG-13300,OFF-AP-10004708,6
CA-2016-133837,13-Apr-16,18-Apr-16,Standard Class,TH-21100,OFF-ST-10000344,2
CA-2015-108861,28-May-15,01-Jun-15,Standard Class,MM-17260,OFF-BI-10003876,12
CA-2016-144043,10-May-16,15-May-16,Standard Class,AB-10165,TEC-AC-10002718,25
CA-2017-132899,07-Apr-17,11-Apr-17,Standard Class,SF-20200,OFF-AR-10002833,17
CA-2017-164574,29-Jul-17,03-Aug-17,Standard Class,RH-19555,OFF-ST-10003816,12
US-2015-151015,14-Oct-15,20-Oct-15,Standard Class,BD-11500,OFF-PA-10002581,10
CA-2016-126970,20-Sep-16,24-Sep-16,Standard Class,TP-21130,OFF-BI-10000138,22
CA-2016-167479,14-Mar-16,19-Mar-16,Standard Class,AI-10855,OFF-PA-10002105,20
CA-2015-113271,09-Jul-15,14-Jul-15,Standard Class,DS-13030,OFF-BI-10002609,13
CA-2018-121853,23-Sep-18,29-Sep-18,Standard Class,DB-13660,OFF-PA-10003641,15
CA-2017-119123,13-Mar-17,18-Mar-17,Standard Class,DB-13360,OFF-BI-10001036,25
CA-2016-163734,19-Jun-16,24-Jun-16,Standard Class,KM-16375,OFF-ST-10003692,14
CA-2018-141663,13-Apr-18,17-Apr-18,Standard Class,DP-13105,OFF-FA-10004076,12
CA-2016-168277,29-May-16,03-Jun-16,Standard Class,KB-16315,OFF-LA-10004484,16
CA-2018-111738,03-Jan-18,07-Jan-18,Standard Class,CM-12385,OFF-BI-10004584,1
CA-2017-149237,26-May-17,30-May-17,Standard Class,CM-12235,FUR-FU-10002088,24
US-2017-105452,28-Jul-17,01-Aug-17,Standard Class,BF-11005,FUR-FU-10003691,2
CA-2015-104563,07-Mar-15,12-Mar-15,Standard Class,CM-12715,OFF-AR-10000390,10
CA-2016-107902,28-Aug-16,02-Sep-16,Standard Class,SM-20950,OFF-ST-10001837,6
CA-2017-105291,30-Oct-17,04-Nov-17,Standard Class,SP-20920,OFF-FA-10003059,10
CA-2017-161746,21-Oct-17,27-Oct-17,Standard Class,CS-11950,FUR-CH-10004626,16
CA-2015-111962,29-Sep-15,04-Oct-15,Standard Class,EB-14170,OFF-BI-10001308,14
CA-2015-114321,20-Aug-15,25-Aug-15,Standard Class,NC-18535,FUR-CH-10001797,18
CA-2017-137127,16-Jun-17,22-Jun-17,Standard Class,JJ-15445,OFF-LA-10001641,19
CA-2017-158358,04-Mar-17,08-Mar-17,Standard Class,EM-13810,TEC-AC-10002567,8
CA-2017-125920,21-May-17,28-May-17,Standard Class,SH-19975,OFF-BI-10003429,5
CA-2017-105816,11-Dec-17,17-Dec-17,Standard Class,JM-15265,OFF-FA-10000304,20
US-2016-136476,05-Apr-16,10-Apr-16,Standard Class,GG-14650,OFF-BI-10003650,2
CA-2018-105074,24-Jun-18,29-Jun-18,Standard Class,MB-17305,OFF-PA-10002666,20
CA-2017-130162,28-Oct-17,01-Nov-17,Standard Class,JH-15910,OFF-ST-10001328,20
CA-2016-163055,09-Aug-16,16-Aug-16,Standard Class,DS-13180,OFF-AR-10001026,10
US-2016-145436,28-Feb-16,04-Mar-16,Standard Class,VD-21670,FUR-CH-10004860,10
CA-2017-138520,08-Apr-17,13-Apr-17,Standard Class,JL-15505,FUR-BO-10002268,18
CA-2018-144904,25-Sep-18,01-Oct-18,Standard Class,KW-16435,OFF-LA-10001158,17
CA-2018-117933,24-Dec-18,29-Dec-18,Standard Class,RF-19840,OFF-AP-10004249,2
CA-2018-117457,08-Dec-18,12-Dec-18,Standard Class,KH-16510,TEC-AC-10000158,23
CA-2017-103891,12-Jul-17,19-Jul-17,Standard Class,KH-16690,TEC-PH-10000149,23
CA-2015-127691,22-Jul-15,27-Jul-15,Standard Class,EM-14065,OFF-AR-10002053,13
CA-2016-145352,16-Mar-16,22-Mar-16,Standard Class,CM-12385,OFF-AR-10001662,18
CA-2018-126221,30-Dec-18,05-Jan-19,Standard Class,CC-12430,OFF-AP-10002457,10
CA-2016-131534,28-Mar-16,02-Apr-16,Standard Class,AB-10165,TEC-AC-10002253,25
CA-2016-115938,26-Jun-16,30-Jun-16,Standard Class,SA-20830,OFF-BI-10001543,8
CA-2018-119305,30-Nov-18,04-Dec-18,Standard Class,SW-20275,OFF-ST-10000604,2
CA-2015-163552,11-Jul-15,15-Jul-15,Standard Class,LA-16780,OFF-PA-10000474,9
CA-2018-167150,10-Dec-18,17-Dec-18,Standard Class,BP-11185,OFF-BI-10001097,11
CA-2016-110016,29-Nov-16,04-Dec-16,Standard Class,BT-11395,OFF-PA-10000349,7
CA-2016-142755,04-Sep-16,08-Sep-16,Standard Class,CS-12355,OFF-PA-10001970,14
CA-2016-138898,25-May-16,29-May-16,Standard Class,JH-16180,OFF-AP-10004487,8
CA-2018-167703,03-Feb-18,08-Feb-18,Standard Class,MC-17575,OFF-BI-10002071,11
CA-2017-130407,02-Sep-17,06-Sep-17,Standard Class,KD-16270,OFF-AR-10002240,25
CA-2018-164959,11-Jul-18,15-Jul-18,Standard Class,KN-16390,OFF-LA-10004272,16
CA-2018-130386,12-Nov-18,18-Nov-18,Standard Class,NG-18430,OFF-PA-10002749,23
CA-2018-158386,16-Oct-18,21-Oct-18,Standard Class,BO-11425,OFF-BI-10003719,19
CA-2018-138380,21-Dec-18,25-Dec-18,Standard Class,YS-21880,OFF-ST-10003306,17
CA-2016-157084,19-Dec-16,24-Dec-16,Standard Class,JG-15160,TEC-PH-10002922,18
CA-2016-111094,09-Jul-16,13-Jul-16,Standard Class,CB-12535,OFF-PA-10001609,16
CA-2016-131597,14-Sep-16,18-Sep-16,Standard Class,SP-20620,FUR-TA-10002607,18
CA-2018-112039,25-Mar-18,29-Mar-18,Standard Class,JC-15775,TEC-PH-10000984,4
US-2018-166611,28-Mar-18,02-Apr-18,Standard Class,CK-12760,OFF-BI-10001191,9
CA-2018-165841,21-Dec-18,28-Dec-18,Standard Class,DB-13210,TEC-PH-10002103,10
US-2017-146570,15-May-17,20-May-17,Standard Class,SN-20710,OFF-BI-10001718,10
CA-2017-118913,25-Jun-17,29-Jun-17,Standard Class,AS-10240,OFF-AP-10000692,21
CA-2017-136483,01-Dec-17,06-Dec-17,Standard Class,AG-10390,OFF-AR-10000940,20
CA-2016-138002,06-Sep-16,12-Sep-16,Standard Class,BT-11305,OFF-BI-10002160,22
CA-2018-121909,31-Jul-18,05-Aug-18,Standard Class,EA-14035,OFF-PA-10003790,17
CA-2016-149342,20-Apr-16,25-Apr-16,Standard Class,TS-21160,TEC-PH-10001557,5
CA-2018-141992,19-Jun-18,25-Jun-18,Standard Class,FO-14305,OFF-SU-10002557,19
US-2017-115455,08-Sep-17,14-Sep-17,Standard Class,SE-20110,FUR-FU-10004671,22
CA-2018-115931,22-Dec-18,26-Dec-18,Standard Class,JM-15655,OFF-AR-10000369,4
CA-2018-127026,21-Jan-18,27-Jan-18,Standard Class,MH-18115,OFF-BI-10000546,6
CA-2015-143413,24-May-15,30-May-15,Standard Class,RP-19390,OFF-PA-10002319,5
CA-2015-153479,04-Oct-15,08-Oct-15,Standard Class,DF-13135,OFF-LA-10004689,5
US-2016-165449,22-Nov-16,26-Nov-16,Standard Class,AP-10720,TEC-AC-10004127,22
CA-2016-166464,12-Sep-16,17-Sep-16,Standard Class,PG-18895,TEC-CO-10000971,25
CA-2018-155880,25-Mar-18,31-Mar-18,Standard Class,JD-16150,FUR-CH-10000422,6
CA-2018-168900,04-May-18,09-May-18,Standard Class,SH-20395,OFF-BI-10003910,6
CA-2018-143665,26-Apr-18,01-May-18,Standard Class,PO-19180,OFF-PA-10003673,6
CA-2015-143903,20-Jul-15,24-Jul-15,Standard Class,KM-16375,OFF-ST-10003306,8
US-2018-140074,23-Mar-18,29-Mar-18,Standard Class,EC-14050,OFF-PA-10002741,6
US-2017-133879,21-Mar-17,28-Mar-17,Standard Class,KT-16465,OFF-BI-10004465,16
CA-2018-123981,02-Oct-18,08-Oct-18,Standard Class,RW-19630,TEC-PH-10002115,10
CA-2018-158953,04-Jun-18,08-Jun-18,Standard Class,ML-18040,OFF-BI-10002557,2
CA-2018-109750,22-Jul-18,28-Jul-18,Standard Class,FH-14365,TEC-PH-10000702,8
CA-2015-115980,15-Jul-15,19-Jul-15,Standard Class,VW-21775,TEC-AC-10003709,12
CA-2015-134551,20-Dec-15,25-Dec-15,Standard Class,TS-21505,OFF-AP-10004868,14
CA-2015-166471,09-Aug-15,13-Aug-15,Standard Class,MG-17650,TEC-PH-10001530,25
US-2018-148362,01-Jul-18,08-Jul-18,Standard Class,KF-16285,OFF-ST-10001128,22
CA-2016-150791,06-Sep-16,13-Sep-16,Standard Class,CC-12430,FUR-CH-10000665,22
CA-2017-108616,29-Sep-17,03-Oct-17,Standard Class,JK-15730,TEC-AC-10000420,22
CA-2017-132731,24-Nov-17,28-Nov-17,Standard Class,GA-14515,TEC-PH-10004120,21
CA-2017-130680,24-Jun-17,29-Jun-17,Standard Class,BD-11320,TEC-PH-10004833,15
CA-2018-168102,24-Apr-18,30-Apr-18,Standard Class,CP-12340,OFF-ST-10001370,7
CA-2017-151155,20-Dec-17,24-Dec-17,Standard Class,AB-10255,FUR-FU-10001918,11
CA-2017-151512,26-Dec-17,02-Jan-18,Standard Class,SH-19975,OFF-AP-10000252,14
CA-2017-163153,21-Mar-17,25-Mar-17,Standard Class,DM-12955,FUR-TA-10004767,21
CA-2018-110212,01-May-18,05-May-18,Standard Class,SJ-20125,TEC-AC-10002331,26
US-2018-142573,18-Jul-18,23-Jul-18,Standard Class,ML-17410,FUR-TA-10001932,16
CA-2018-146920,28-Aug-18,01-Sep-18,Standard Class,SC-20305,OFF-PA-10002479,9
CA-2018-100356,21-Oct-18,25-Oct-18,Standard Class,SP-20920,OFF-AP-10002191,10
CA-2016-153416,24-Nov-16,29-Nov-16,Standard Class,TS-21340,OFF-BI-10002813,6
CA-2015-127299,19-Sep-15,24-Sep-15,Standard Class,JL-15835,OFF-ST-10003722,22
US-2015-107699,19-May-15,23-May-15,Standard Class,JH-15820,OFF-BI-10001249,21
CA-2016-136735,26-Jul-16,02-Aug-16,Standard Class,HA-14920,OFF-EN-10002230,2
CA-2016-112375,21-Dec-16,27-Dec-16,Standard Class,RD-19720,TEC-AC-10003237,2
US-2017-165078,05-Nov-17,10-Nov-17,Standard Class,MA-17995,OFF-BI-10001989,7
CA-2015-160157,20-Dec-15,27-Dec-15,Standard Class,MH-17455,FUR-FU-10003773,23
US-2016-146745,03-Sep-16,08-Sep-16,Standard Class,AS-10630,FUR-CH-10002372,9
CA-2016-163895,07-Aug-16,11-Aug-16,Standard Class,NS-18640,OFF-BI-10004970,11
CA-2015-116757,30-Jun-15,04-Jul-15,Standard Class,MS-17980,OFF-PA-10002005,10
CA-2015-107454,02-Nov-15,06-Nov-15,Standard Class,RD-19720,OFF-LA-10001569,25
US-2018-149510,03-Dec-18,10-Dec-18,Standard Class,MC-17575,OFF-AP-10002350,2
CA-2017-116547,10-Jan-17,17-Jan-17,Standard Class,KB-16585,FUR-FU-10000076,7
CA-2016-129042,12-Dec-16,17-Dec-16,Standard Class,EM-13960,OFF-AR-10001662,16
US-2018-147984,28-Jan-18,01-Feb-18,Standard Class,GB-14575,OFF-PA-10000806,17
CA-2016-104346,11-Dec-16,16-Dec-16,Standard Class,IM-15070,OFF-AR-10001473,13
US-2016-141684,29-Jun-16,04-Jul-16,Standard Class,MM-18055,OFF-PA-10002870,14
CA-2017-135776,23-Dec-17,30-Dec-17,Standard Class,EH-13765,OFF-AR-10001246,16
CA-2016-102876,07-Sep-16,14-Sep-16,Standard Class,LR-17035,OFF-BI-10004781,22
CA-2015-124478,08-Aug-15,12-Aug-15,Standard Class,MA-17560,TEC-CO-10001571,5
US-2018-104094,07-Sep-18,11-Sep-18,Standard Class,AG-10675,TEC-AC-10002134,25
CA-2017-136021,14-Aug-17,18-Aug-17,Standard Class,JM-15580,OFF-PA-10000551,23
CA-2017-117681,09-Apr-17,14-Apr-17,Standard Class,HF-14995,FUR-BO-10001798,7
CA-2017-161158,09-May-17,13-May-17,Standard Class,PS-18970,OFF-AR-10000462,19
CA-2015-168158,19-Jul-15,24-Jul-15,Standard Class,EM-14140,OFF-BI-10001759,3
CA-2018-148810,26-Jun-18,01-Jul-18,Standard Class,DR-12880,OFF-LA-10004689,4
US-2015-143707,01-Mar-15,05-Mar-15,Standard Class,HR-14770,TEC-PH-10003655,4
CA-2016-101868,09-Jun-16,16-Jun-16,Standard Class,MJ-17740,OFF-BI-10003876,17
CA-2016-121783,10-Nov-16,14-Nov-16,Standard Class,PO-19180,OFF-AP-10003849,2
CA-2018-108000,12-Jan-18,16-Jan-18,Standard Class,LS-16945,OFF-EN-10002621,20
US-2015-112991,10-Dec-15,14-Dec-15,Standard Class,SH-19975,FUR-CH-10001708,17
US-2015-106299,02-Aug-15,08-Aug-15,Standard Class,NZ-18565,OFF-BI-10001758,22
